Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
880,2,2013-01-01,0,0,0,0,a,1
102,2,2013-01-01,0,0,0,0,a,1
1113,2,2013-01-01,0,0,0,0,a,1
727,2,2013-01-01,0,0,0,0,a,1
292,2,2013-01-01,0,0,0,0,a,1
266,3,2013-01-02,4031,516,1,0,0,1
102,3,2013-01-02,6676,1134,1,0,0,1
1046,3,2013-01-02,6832,614,1,0,0,1
793,3,2013-01-02,3473,362,1,0,0,1
903,3,2013-01-02,12015,839,1,0,0,1
266,4,2013-01-03,3460,466,1,0,0,0
102,4,2013-01-03,5714,1019,1,0,0,1
1046,4,2013-01-03,6226,569,1,0,0,1
793,4,2013-01-03,3455,360,1,0,0,1
903,4,2013-01-03,10284,752,1,0,0,1
266,5,2013-01-04,3693,444,1,0,0,0
102,5,2013-01-04,6174,1050,1,0,0,1
1046,5,2013-01-04,7280,640,1,0,0,1
793,5,2013-01-04,3057,334,1,0,0,1
903,5,2013-01-04,11871,839,1,0,0,1
266,6,2013-01-05,2342,237,1,0,0,0
102,6,2013-01-05,7024,1127,1,0,0,0
1046,6,2013-01-05,5538,475,1,0,0,0
793,6,2013-01-05,3747,424,1,0,0,0
903,6,2013-01-05,12361,882,1,0,0,0
266,7,2013-01-06,0,0,0,0,0,0
102,7,2013-01-06,0,0,0,0,0,0
1046,7,2013-01-06,0,0,0,0,a,0
793,7,2013-01-06,0,0,0,0,0,0
903,7,2013-01-06,0,0,0,0,a,0
266,1,2013-01-07,7219,760,1,1,0,0
102,1,2013-01-07,11789,1626,1,1,0,0
1046,1,2013-01-07,13850,975,1,1,0,0
793,1,2013-01-07,8744,692,1,1,0,0
903,1,2013-01-07,14764,951,1,1,0,0
266,2,2013-01-08,6242,654,1,1,0,0
102,2,2013-01-08,9863,1430,1,1,0,0
1046,2,2013-01-08,11465,797,1,1,0,0
793,2,2013-01-08,5088,452,1,1,0,0
903,2,2013-01-08,11439,802,1,1,0,0
266,3,2013-01-09,5847,641,1,1,0,0
102,3,2013-01-09,7407,1059,1,1,0,0
1046,3,2013-01-09,10716,790,1,1,0,0
793,3,2013-01-09,5134,413,1,1,0,0
903,3,2013-01-09,10465,748,1,1,0,0
266,4,2013-01-10,6766,712,1,1,0,0
102,4,2013-01-10,8698,1350,1,1,0,0
1046,4,2013-01-10,10562,761,1,1,0,0
793,4,2013-01-10,5243,475,1,1,0,0
903,4,2013-01-10,10746,755,1,1,0,0
266,5,2013-01-11,5491,598,1,1,0,0
102,5,2013-01-11,7995,1238,1,1,0,0
1046,5,2013-01-11,11126,881,1,1,0,0
793,5,2013-01-11,4560,424,1,1,0,0
903,5,2013-01-11,12665,932,1,1,0,0
266,6,2013-01-12,2693,322,1,0,0,0
102,6,2013-01-12,6418,1092,1,0,0,0
1046,6,2013-01-12,6179,577,1,0,0,0
793,6,2013-01-12,4105,432,1,0,0,0
903,6,2013-01-12,10648,789,1,0,0,0
266,7,2013-01-13,0,0,0,0,0,0
102,7,2013-01-13,0,0,0,0,0,0
1046,7,2013-01-13,0,0,0,0,0,0
793,7,2013-01-13,0,0,0,0,0,0
903,7,2013-01-13,0,0,0,0,0,0
266,1,2013-01-14,4478,588,1,0,0,0
102,1,2013-01-14,5323,913,1,0,0,0
1046,1,2013-01-14,5246,520,1,0,0,0
793,1,2013-01-14,2612,280,1,0,0,0
903,1,2013-01-14,9824,748,1,0,0,0
266,2,2013-01-15,4750,630,1,0,0,0
102,2,2013-01-15,4418,786,1,0,0,0
1046,2,2013-01-15,4862,461,1,0,0,0
793,2,2013-01-15,2120,224,1,0,0,0
903,2,2013-01-15,8661,687,1,0,0,0
266,3,2013-01-16,3712,496,1,0,0,0
102,3,2013-01-16,4752,797,1,0,0,0
1046,3,2013-01-16,5035,507,1,0,0,0
793,3,2013-01-16,2320,267,1,0,0,0
903,3,2013-01-16,7281,561,1,0,0,0
266,4,2013-01-17,3471,485,1,0,0,0
102,4,2013-01-17,5207,898,1,0,0,0
1046,4,2013-01-17,4933,469,1,0,0,0
793,4,2013-01-17,3111,344,1,0,0,0
903,4,2013-01-17,6658,531,1,0,0,0
266,5,2013-01-18,4239,502,1,0,0,0
102,5,2013-01-18,5084,867,1,0,0,0
1046,5,2013-01-18,6099,561,1,0,0,0
793,5,2013-01-18,3222,361,1,0,0,0
903,5,2013-01-18,10490,794,1,0,0,0
266,6,2013-01-19,2526,282,1,0,0,0
102,6,2013-01-19,6221,1011,1,0,0,0
1046,6,2013-01-19,4885,443,1,0,0,0
793,6,2013-01-19,4098,434,1,0,0,0
903,6,2013-01-19,10694,787,1,0,0,0
266,7,2013-01-20,0,0,0,0,0,0
102,7,2013-01-20,0,0,0,0,0,0
1046,7,2013-01-20,0,0,0,0,0,0
793,7,2013-01-20,0,0,0,0,0,0
903,7,2013-01-20,0,0,0,0,0,0
266,1,2013-01-21,7089,710,1,1,0,0
